Team,Slot,Unit,Notes
Defense,Unit 2,Dragon King Sharun,"Arti:
Krau - Holy Sac
FCC - Aurius
Flan - Her own Arti

Krau and FCC ideally want 200 spd, FCC as fast as 250 spd. Krau needs 30k HP, you can forfeit all def because Rinak/Bride pen def anyway. FCC handles fixed dmg. 

Turn cycle:
Rinak S2/S3 into Krau, Sharun S3, Senya S3 into FCC, Rinak S1 into Krau (you most likely procc HS here if u haven't already)
Your turn to strike: FCC S3 (super nice if u got debuffs), Krau S3 into Sharun; Flan S3 into Senya. All in into Senya, kill rinak after. If u see a chance to wipe rinak (even if it means to procc Bride passive, do it. Bride can't kill because of FCC passive)

Alternative (only works whenever Senya is not on Holy Sac):
Zio, ML Roana, Taeyou

Have Roana on Book, Taeyou on Merciless Glutton, Zio on Eff Arti (Cursed Compass goat)

S3 either Sharun or Senya (fast Sharun never has ER so pick her); Roana S3; Taewho SB S3 > S1 into Sharun (takes away all momentum). After that kill Senya, then Rinak.

You will (!) 100% lose either Roana or Zio during this. Rinak S2 always targets current highest CR unit. That is usually going to be Zio. And since he's lowest HP after that, he'll tank S3. He won't die due to Deify but Senya finishes him off unless you cycle beforehand. "
Defense,Unit 3,Rinak,"Arti:
Krau - Holy Sac
FCC - Aurius
Flan - Her own Arti

Krau and FCC ideally want 200 spd, FCC as fast as 250 spd. Krau needs 30k HP, you can forfeit all def because Rinak/Bride pen def anyway. FCC handles fixed dmg. 

Turn cycle:
Rinak S2/S3 into Krau, Sharun S3, Senya S3 into FCC, Rinak S1 into Krau (you most likely procc HS here if u haven't already)
Your turn to strike: FCC S3 (super nice if u got debuffs), Krau S3 into Sharun; Flan S3 into Senya. All in into Senya, kill rinak after. If u see a chance to wipe rinak (even if it means to procc Bride passive, do it. Bride can't kill because of FCC passive)

Alternative (only works whenever Senya is not on Holy Sac):
Zio, ML Roana, Taeyou

Have Roana on Book, Taeyou on Merciless Glutton, Zio on Eff Arti (Cursed Compass goat)

S3 either Sharun or Senya (fast Sharun never has ER so pick her); Roana S3; Taewho SB S3 > S1 into Sharun (takes away all momentum). After that kill Senya, then Rinak.

You will (!) 100% lose either Roana or Zio during this. Rinak S2 always targets current highest CR unit. That is usually going to be Zio. And since he's lowest HP after that, he'll tank S3. He won't die due to Deify but Senya finishes him off unless you cycle beforehand. "
Attack,Unit 1,Fallen Cecilia,"Arti:
Krau - Holy Sac
FCC - Aurius
Flan - Her own Arti

Krau and FCC ideally want 200 spd, FCC as fast as 250 spd. Krau needs 30k HP, you can forfeit all def because Rinak/Bride pen def anyway. FCC handles fixed dmg. 

Turn cycle:
Rinak S2/S3 into Krau, Sharun S3, Senya S3 into FCC, Rinak S1 into Krau (you most likely procc HS here if u haven't already)
Your turn to strike: FCC S3 (super nice if u got debuffs), Krau S3 into Sharun; Flan S3 into Senya. All in into Senya, kill rinak after. If u see a chance to wipe rinak (even if it means to procc Bride passive, do it. Bride can't kill because of FCC passive)

Alternative (only works whenever Senya is not on Holy Sac):
Zio, ML Roana, Taeyou

Have Roana on Book, Taeyou on Merciless Glutton, Zio on Eff Arti (Cursed Compass goat)

S3 either Sharun or Senya (fast Sharun never has ER so pick her); Roana S3; Taewho SB S3 > S1 into Sharun (takes away all momentum). After that kill Senya, then Rinak.

You will (!) 100% lose either Roana or Zio during this. Rinak S2 always targets current highest CR unit. That is usually going to be Zio. And since he's lowest HP after that, he'll tank S3. He won't die due to Deify but Senya finishes him off unless you cycle beforehand. "
Attack,Unit 2,Krau,"Arti:
Krau - Holy Sac
FCC - Aurius
Flan - Her own Arti

Krau and FCC ideally want 200 spd, FCC as fast as 250 spd. Krau needs 30k HP, you can forfeit all def because Rinak/Bride pen def anyway. FCC handles fixed dmg. 

Turn cycle:
Rinak S2/S3 into Krau, Sharun S3, Senya S3 into FCC, Rinak S1 into Krau (you most likely procc HS here if u haven't already)
Your turn to strike: FCC S3 (super nice if u got debuffs), Krau S3 into Sharun; Flan S3 into Senya. All in into Senya, kill rinak after. If u see a chance to wipe rinak (even if it means to procc Bride passive, do it. Bride can't kill because of FCC passive)

Alternative (only works whenever Senya is not on Holy Sac):
Zio, ML Roana, Taeyou

Have Roana on Book, Taeyou on Merciless Glutton, Zio on Eff Arti (Cursed Compass goat)

S3 either Sharun or Senya (fast Sharun never has ER so pick her); Roana S3; Taewho SB S3 > S1 into Sharun (takes away all momentum). After that kill Senya, then Rinak.

You will (!) 100% lose either Roana or Zio during this. Rinak S2 always targets current highest CR unit. That is usually going to be Zio. And since he's lowest HP after that, he'll tank S3. He won't die due to Deify but Senya finishes him off unless you cycle beforehand. "
Attack,Unit 3,Afternoon Soak Flan,"Arti:
Krau - Holy Sac
FCC - Aurius
Flan - Her own Arti

Krau and FCC ideally want 200 spd, FCC as fast as 250 spd. Krau needs 30k HP, you can forfeit all def because Rinak/Bride pen def anyway. FCC handles fixed dmg. 

Turn cycle:
Rinak S2/S3 into Krau, Sharun S3, Senya S3 into FCC, Rinak S1 into Krau (you most likely procc HS here if u haven't already)
Your turn to strike: FCC S3 (super nice if u got debuffs), Krau S3 into Sharun; Flan S3 into Senya. All in into Senya, kill rinak after. If u see a chance to wipe rinak (even if it means to procc Bride passive, do it. Bride can't kill because of FCC passive)

Alternative (only works whenever Senya is not on Holy Sac):
Zio, ML Roana, Taeyou

Have Roana on Book, Taeyou on Merciless Glutton, Zio on Eff Arti (Cursed Compass goat)

S3 either Sharun or Senya (fast Sharun never has ER so pick her); Roana S3; Taewho SB S3 > S1 into Sharun (takes away all momentum). After that kill Senya, then Rinak.

You will (!) 100% lose either Roana or Zio during this. Rinak S2 always targets current highest CR unit. That is usually going to be Zio. And since he's lowest HP after that, he'll tank S3. He won't die due to Deify but Senya finishes him off unless you cycle beforehand. "
Defense,Unit 1,Boss Arunka,"Arti:
Christy - Adamant Shield (or Rise of a Monarch but Adamant is usually better)
Young Senya - her own
Aria - Fairytale for a Nightmare (alt: Bastion of Hope or Chatty if you feel like you need more ER or survivability)

Strat:
Setti S3 > Young Senya S3, Christy S3, Aria S3 - auto. How lose?

Christy should ideally have 250+ ER, Aria ideally 50-100 ER"
Defense,Unit 2,Empyrean Ilynav,"Arti:
Christy - Adamant Shield (or Rise of a Monarch but Adamant is usually better)
Young Senya - her own
Aria - Fairytale for a Nightmare (alt: Bastion of Hope or Chatty if you feel like you need more ER or survivability)

Strat:
Setti S3 > Young Senya S3, Christy S3, Aria S3 - auto. How lose?

Christy should ideally have 250+ ER, Aria ideally 50-100 ER"
Defense,Unit 3,Harsetti,"Arti:
Christy - Adamant Shield (or Rise of a Monarch but Adamant is usually better)
Young Senya - her own
Aria - Fairytale for a Nightmare (alt: Bastion of Hope or Chatty if you feel like you need more ER or survivability)

Strat:
Setti S3 > Young Senya S3, Christy S3, Aria S3 - auto. How lose?

Christy should ideally have 250+ ER, Aria ideally 50-100 ER"
Attack,Unit 1,Silvertide Christy,"Arti:
Christy - Adamant Shield (or Rise of a Monarch but Adamant is usually better)
Young Senya - her own
Aria - Fairytale for a Nightmare (alt: Bastion of Hope or Chatty if you feel like you need more ER or survivability)

Strat:
Setti S3 > Young Senya S3, Christy S3, Aria S3 - auto. How lose?

Christy should ideally have 250+ ER, Aria ideally 50-100 ER"
Attack,Unit 2,Young Senya,"Arti:
Christy - Adamant Shield (or Rise of a Monarch but Adamant is usually better)
Young Senya - her own
Aria - Fairytale for a Nightmare (alt: Bastion of Hope or Chatty if you feel like you need more ER or survivability)

Strat:
Setti S3 > Young Senya S3, Christy S3, Aria S3 - auto. How lose?

Christy should ideally have 250+ ER, Aria ideally 50-100 ER"
Attack,Unit 3,Aria,"Arti:
Christy - Adamant Shield (or Rise of a Monarch but Adamant is usually better)
Young Senya - her own
Aria - Fairytale for a Nightmare (alt: Bastion of Hope or Chatty if you feel like you need more ER or survivability)

Strat:
Setti S3 > Young Senya S3, Christy S3, Aria S3 - auto. How lose?

Christy should ideally have 250+ ER, Aria ideally 50-100 ER"
Defense,Unit 1,Boss Arunka,"Ain't nobody trolling with 200+ spd Arunka/Landy here. 

Arti:
Krau - Holy Sac (lvl 30 mandatory)
Luna - Book
Straze - Ideally Tachi but honestly, anything works. You overkill by a landslide.

Strat:
Rinak S2/S3 into Krau. Luna SB S3, Straze S3 (kills Arunka). Rinak S1 into Krau (he dies, comes back), Luna S2 into Rinak or Landy (whichever is in killrange), S3 Krau into remainign target. If Arunka is revived through HS, you still win by default as she won't do much (you lap her a billion times anyway)"
Defense,Unit 2,Navy Captain Landy,"Ain't nobody trolling with 200+ spd Arunka/Landy here. 

Arti:
Krau - Holy Sac (lvl 30 mandatory)
Luna - Book
Straze - Ideally Tachi but honestly, anything works. You overkill by a landslide.

Strat:
Rinak S2/S3 into Krau. Luna SB S3, Straze S3 (kills Arunka). Rinak S1 into Krau (he dies, comes back), Luna S2 into Rinak or Landy (whichever is in killrange), S3 Krau into remainign target. If Arunka is revived through HS, you still win by default as she won't do much (you lap her a billion times anyway)"
Defense,Unit 3,Rinak,"Ain't nobody trolling with 200+ spd Arunka/Landy here. 

Arti:
Krau - Holy Sac (lvl 30 mandatory)
Luna - Book
Straze - Ideally Tachi but honestly, anything works. You overkill by a landslide.

Strat:
Rinak S2/S3 into Krau. Luna SB S3, Straze S3 (kills Arunka). Rinak S1 into Krau (he dies, comes back), Luna S2 into Rinak or Landy (whichever is in killrange), S3 Krau into remainign target. If Arunka is revived through HS, you still win by default as she won't do much (you lap her a billion times anyway)"
Attack,Unit 1,Krau,"Ain't nobody trolling with 200+ spd Arunka/Landy here. 

Arti:
Krau - Holy Sac (lvl 30 mandatory)
Luna - Book
Straze - Ideally Tachi but honestly, anything works. You overkill by a landslide.

Strat:
Rinak S2/S3 into Krau. Luna SB S3, Straze S3 (kills Arunka). Rinak S1 into Krau (he dies, comes back), Luna S2 into Rinak or Landy (whichever is in killrange), S3 Krau into remainign target. If Arunka is revived through HS, you still win by default as she won't do much (you lap her a billion times anyway)"
Attack,Unit 2,New Moon Luna,"Ain't nobody trolling with 200+ spd Arunka/Landy here. 

Arti:
Krau - Holy Sac (lvl 30 mandatory)
Luna - Book
Straze - Ideally Tachi but honestly, anything works. You overkill by a landslide.

Strat:
Rinak S2/S3 into Krau. Luna SB S3, Straze S3 (kills Arunka). Rinak S1 into Krau (he dies, comes back), Luna S2 into Rinak or Landy (whichever is in killrange), S3 Krau into remainign target. If Arunka is revived through HS, you still win by default as she won't do much (you lap her a billion times anyway)"
Attack,Unit 3,Straze,"Ain't nobody trolling with 200+ spd Arunka/Landy here. 

Arti:
Krau - Holy Sac (lvl 30 mandatory)
Luna - Book
Straze - Ideally Tachi but honestly, anything works. You overkill by a landslide.

Strat:
Rinak S2/S3 into Krau. Luna SB S3, Straze S3 (kills Arunka). Rinak S1 into Krau (he dies, comes back), Luna S2 into Rinak or Landy (whichever is in killrange), S3 Krau into remainign target. If Arunka is revived through HS, you still win by default as she won't do much (you lap her a billion times anyway)"
Defense,Unit 1,Belian,"Arti:
Amiki - Uberius Tooth
Jenua - Wind Rider or his own Arti
BBK - Shepad/Alexa's Basket

Ideally all 3 units on immunity

Strat:
We let RNG-sus take the wheel. Most Belian here will be fast on 3f. So expect Amiki, BBK, and Jenua to be low HP. 

Jenua S3 into Hwa. S3 Amiki into either Belian or Hwa (whichever happens to go first between her and Jenua), BBK S3. Auto from there.

ALTERNATIVE COMP 1:
(Outspeed angle) FCC + Guard Captain Krau + Rinak
FCC on Aurius
GC Krau on his own arti
Rinak on her own arti

Krau/FCC ideally on immunity set.

Rinak S2/S3 into Hwa. Peira does something. Belian S3, nobody bats an eye. Krau S3, FCC S3. Focus Belian. Stun Belian with Krau S2. U win at some point. 

ALTERNATIVE COMP 2:
Babe Arunka (Counter/Immuty Set + RP), Ruele, FCC

You focus down Hwa first, then Belian, then Peira. This will take ages unless Babe counters like a goddess."
Defense,Unit 2,Bystander Hwayoung,"Arti:
Amiki - Uberius Tooth
Jenua - Wind Rider or his own Arti
BBK - Shepad/Alexa's Basket

Ideally all 3 units on immunity

Strat:
We let RNG-sus take the wheel. Most Belian here will be fast on 3f. So expect Amiki, BBK, and Jenua to be low HP. 

Jenua S3 into Hwa. S3 Amiki into either Belian or Hwa (whichever happens to go first between her and Jenua), BBK S3. Auto from there.

ALTERNATIVE COMP 1:
(Outspeed angle) FCC + Guard Captain Krau + Rinak
FCC on Aurius
GC Krau on his own arti
Rinak on her own arti

Krau/FCC ideally on immunity set.

Rinak S2/S3 into Hwa. Peira does something. Belian S3, nobody bats an eye. Krau S3, FCC S3. Focus Belian. Stun Belian with Krau S2. U win at some point. 

ALTERNATIVE COMP 2:
Babe Arunka (Counter/Immuty Set + RP), Ruele, FCC

You focus down Hwa first, then Belian, then Peira. This will take ages unless Babe counters like a goddess."
Defense,Unit 3,Lone Wolf Peira,"Arti:
Amiki - Uberius Tooth
Jenua - Wind Rider or his own Arti
BBK - Shepad/Alexa's Basket

Ideally all 3 units on immunity

Strat:
We let RNG-sus take the wheel. Most Belian here will be fast on 3f. So expect Amiki, BBK, and Jenua to be low HP. 

Jenua S3 into Hwa. S3 Amiki into either Belian or Hwa (whichever happens to go first between her and Jenua), BBK S3. Auto from there.

ALTERNATIVE COMP 1:
(Outspeed angle) FCC + Guard Captain Krau + Rinak
FCC on Aurius
GC Krau on his own arti
Rinak on her own arti

Krau/FCC ideally on immunity set.

Rinak S2/S3 into Hwa. Peira does something. Belian S3, nobody bats an eye. Krau S3, FCC S3. Focus Belian. Stun Belian with Krau S2. U win at some point. 

ALTERNATIVE COMP 2:
Babe Arunka (Counter/Immuty Set + RP), Ruele, FCC

You focus down Hwa first, then Belian, then Peira. This will take ages unless Babe counters like a goddess."
Attack,Unit 1,Amiki,"Arti:
Amiki - Uberius Tooth
Jenua - Wind Rider or his own Arti
BBK - Shepad/Alexa's Basket

Ideally all 3 units on immunity

Strat:
We let RNG-sus take the wheel. Most Belian here will be fast on 3f. So expect Amiki, BBK, and Jenua to be low HP. 

Jenua S3 into Hwa. S3 Amiki into either Belian or Hwa (whichever happens to go first between her and Jenua), BBK S3. Auto from there.

ALTERNATIVE COMP 1:
(Outspeed angle) FCC + Guard Captain Krau + Rinak
FCC on Aurius
GC Krau on his own arti
Rinak on her own arti

Krau/FCC ideally on immunity set.

Rinak S2/S3 into Hwa. Peira does something. Belian S3, nobody bats an eye. Krau S3, FCC S3. Focus Belian. Stun Belian with Krau S2. U win at some point. 

ALTERNATIVE COMP 2:
Babe Arunka (Counter/Immuty Set + RP), Ruele, FCC

You focus down Hwa first, then Belian, then Peira. This will take ages unless Babe counters like a goddess."
Attack,Unit 2,Jenua,"Arti:
Amiki - Uberius Tooth
Jenua - Wind Rider or his own Arti
BBK - Shepad/Alexa's Basket

Ideally all 3 units on immunity

Strat:
We let RNG-sus take the wheel. Most Belian here will be fast on 3f. So expect Amiki, BBK, and Jenua to be low HP. 

Jenua S3 into Hwa. S3 Amiki into either Belian or Hwa (whichever happens to go first between her and Jenua), BBK S3. Auto from there.

ALTERNATIVE COMP 1:
(Outspeed angle) FCC + Guard Captain Krau + Rinak
FCC on Aurius
GC Krau on his own arti
Rinak on her own arti

Krau/FCC ideally on immunity set.

Rinak S2/S3 into Hwa. Peira does something. Belian S3, nobody bats an eye. Krau S3, FCC S3. Focus Belian. Stun Belian with Krau S2. U win at some point. 

ALTERNATIVE COMP 2:
Babe Arunka (Counter/Immuty Set + RP), Ruele, FCC

You focus down Hwa first, then Belian, then Peira. This will take ages unless Babe counters like a goddess."
Attack,Unit 3,Blood Blade Karin,"Arti:
Amiki - Uberius Tooth
Jenua - Wind Rider or his own Arti
BBK - Shepad/Alexa's Basket

Ideally all 3 units on immunity

Strat:
We let RNG-sus take the wheel. Most Belian here will be fast on 3f. So expect Amiki, BBK, and Jenua to be low HP. 

Jenua S3 into Hwa. S3 Amiki into either Belian or Hwa (whichever happens to go first between her and Jenua), BBK S3. Auto from there.

ALTERNATIVE COMP 1:
(Outspeed angle) FCC + Guard Captain Krau + Rinak
FCC on Aurius
GC Krau on his own arti
Rinak on her own arti

Krau/FCC ideally on immunity set.

Rinak S2/S3 into Hwa. Peira does something. Belian S3, nobody bats an eye. Krau S3, FCC S3. Focus Belian. Stun Belian with Krau S2. U win at some point. 

ALTERNATIVE COMP 2:
Babe Arunka (Counter/Immuty Set + RP), Ruele, FCC

You focus down Hwa first, then Belian, then Peira. This will take ages unless Babe counters like a goddess."
Defense,Unit 1,Boss Arunka,"Arti:
Krau - Holy Sac (lvl 30 mandatory)
Luna - Book
Straze - Ideally Tachi but honestly, anything works. You overkill by a landslide.

Strat:
Rinak S2/S3 into Krau. Luna SB S3, Straze S3 (kills FCC). Rinak S1 into Krau (he dies, comes back), Luna S2 into Rinak or Arunka (most likely Arunka because of passive), S3 Krau into Arunka if still alive (highly likely) or Rinak. Rinak will S2/S1 at some point again.

Stat hallmarks:
Straze ideally 230+ spd to not get surprised by fast Arunka (we had this case on 21st of May)
Krau 30k+ HP at 200+ Spd (>100 ER only if you can fit it)
Luna just fast ideally >20k HP for good chip dmg from S2"
Defense,Unit 2,Rinak,"Arti:
Krau - Holy Sac (lvl 30 mandatory)
Luna - Book
Straze - Ideally Tachi but honestly, anything works. You overkill by a landslide.

Strat:
Rinak S2/S3 into Krau. Luna SB S3, Straze S3 (kills FCC). Rinak S1 into Krau (he dies, comes back), Luna S2 into Rinak or Arunka (most likely Arunka because of passive), S3 Krau into Arunka if still alive (highly likely) or Rinak. Rinak will S2/S1 at some point again.

Stat hallmarks:
Straze ideally 230+ spd to not get surprised by fast Arunka (we had this case on 21st of May)
Krau 30k+ HP at 200+ Spd (>100 ER only if you can fit it)
Luna just fast ideally >20k HP for good chip dmg from S2"
Defense,Unit 3,Fallen Cecilia,"Arti:
Krau - Holy Sac (lvl 30 mandatory)
Luna - Book
Straze - Ideally Tachi but honestly, anything works. You overkill by a landslide.

Strat:
Rinak S2/S3 into Krau. Luna SB S3, Straze S3 (kills FCC). Rinak S1 into Krau (he dies, comes back), Luna S2 into Rinak or Arunka (most likely Arunka because of passive), S3 Krau into Arunka if still alive (highly likely) or Rinak. Rinak will S2/S1 at some point again.

Stat hallmarks:
Straze ideally 230+ spd to not get surprised by fast Arunka (we had this case on 21st of May)
Krau 30k+ HP at 200+ Spd (>100 ER only if you can fit it)
Luna just fast ideally >20k HP for good chip dmg from S2"
Attack,Unit 1,New Moon Luna,"Arti:
Krau - Holy Sac (lvl 30 mandatory)
Luna - Book
Straze - Ideally Tachi but honestly, anything works. You overkill by a landslide.

Strat:
Rinak S2/S3 into Krau. Luna SB S3, Straze S3 (kills FCC). Rinak S1 into Krau (he dies, comes back), Luna S2 into Rinak or Arunka (most likely Arunka because of passive), S3 Krau into Arunka if still alive (highly likely) or Rinak. Rinak will S2/S1 at some point again.

Stat hallmarks:
Straze ideally 230+ spd to not get surprised by fast Arunka (we had this case on 21st of May)
Krau 30k+ HP at 200+ Spd (>100 ER only if you can fit it)
Luna just fast ideally >20k HP for good chip dmg from S2"
Attack,Unit 2,Krau,"Arti:
Krau - Holy Sac (lvl 30 mandatory)
Luna - Book
Straze - Ideally Tachi but honestly, anything works. You overkill by a landslide.

Strat:
Rinak S2/S3 into Krau. Luna SB S3, Straze S3 (kills FCC). Rinak S1 into Krau (he dies, comes back), Luna S2 into Rinak or Arunka (most likely Arunka because of passive), S3 Krau into Arunka if still alive (highly likely) or Rinak. Rinak will S2/S1 at some point again.

Stat hallmarks:
Straze ideally 230+ spd to not get surprised by fast Arunka (we had this case on 21st of May)
Krau 30k+ HP at 200+ Spd (>100 ER only if you can fit it)
Luna just fast ideally >20k HP for good chip dmg from S2"
Attack,Unit 3,Straze,"Arti:
Krau - Holy Sac (lvl 30 mandatory)
Luna - Book
Straze - Ideally Tachi but honestly, anything works. You overkill by a landslide.

Strat:
Rinak S2/S3 into Krau. Luna SB S3, Straze S3 (kills FCC). Rinak S1 into Krau (he dies, comes back), Luna S2 into Rinak or Arunka (most likely Arunka because of passive), S3 Krau into Arunka if still alive (highly likely) or Rinak. Rinak will S2/S1 at some point again.

Stat hallmarks:
Straze ideally 230+ spd to not get surprised by fast Arunka (we had this case on 21st of May)
Krau 30k+ HP at 200+ Spd (>100 ER only if you can fit it)
Luna just fast ideally >20k HP for good chip dmg from S2"
Defense,Unit 1,Boss Arunka,"Arti:
Christy - Adamant Shield (or Bastion for more ER but beware, Basion ER doesn't move to Aria!)
Aria - Fairytale (or Bastion if u need more ER, make sure only one Bastion is in the fight)
Choux - Sweet Miracle (for safety measures)

This is basically auto."
Defense,Unit 2,Empyrean Ilynav,"Arti:
Christy - Adamant Shield (or Bastion for more ER but beware, Basion ER doesn't move to Aria!)
Aria - Fairytale (or Bastion if u need more ER, make sure only one Bastion is in the fight)
Choux - Sweet Miracle (for safety measures)

This is basically auto."
Defense,Unit 3,Bystander Hwayoung,"Arti:
Christy - Adamant Shield (or Bastion for more ER but beware, Basion ER doesn't move to Aria!)
Aria - Fairytale (or Bastion if u need more ER, make sure only one Bastion is in the fight)
Choux - Sweet Miracle (for safety measures)

This is basically auto."
Attack,Unit 1,Aria,"Arti:
Christy - Adamant Shield (or Bastion for more ER but beware, Basion ER doesn't move to Aria!)
Aria - Fairytale (or Bastion if u need more ER, make sure only one Bastion is in the fight)
Choux - Sweet Miracle (for safety measures)

This is basically auto."
Attack,Unit 2,Silvertide Christy,"Arti:
Christy - Adamant Shield (or Bastion for more ER but beware, Basion ER doesn't move to Aria!)
Aria - Fairytale (or Bastion if u need more ER, make sure only one Bastion is in the fight)
Choux - Sweet Miracle (for safety measures)

This is basically auto."
Attack,Unit 3,Urban Shadow Choux,"Arti:
Christy - Adamant Shield (or Bastion for more ER but beware, Basion ER doesn't move to Aria!)
Aria - Fairytale (or Bastion if u need more ER, make sure only one Bastion is in the fight)
Choux - Sweet Miracle (for safety measures)

This is basically auto."
Defense,Unit 1,Boss Arunka,"Arti:
Luna - Book
Straze - Tachi, Hellcutter, or Portrait
Iseria - Symbol of Unity, Elegaic Candle (Nahkwol def break arti), Andre's Crossbow

Strat:
SB S3 Luna > S3 Iseria (if dps: bbk dies) > S3 Straze (kills Ilynav, can't revive, for sure kills BBK) > finish off Arunka. "
Defense,Unit 2,Empyrean Ilynav,"Arti:
Luna - Book
Straze - Tachi, Hellcutter, or Portrait
Iseria - Symbol of Unity, Elegaic Candle (Nahkwol def break arti), Andre's Crossbow

Strat:
SB S3 Luna > S3 Iseria (if dps: bbk dies) > S3 Straze (kills Ilynav, can't revive, for sure kills BBK) > finish off Arunka. "
Defense,Unit 3,Blood Blade Karin,"Arti:
Luna - Book
Straze - Tachi, Hellcutter, or Portrait
Iseria - Symbol of Unity, Elegaic Candle (Nahkwol def break arti), Andre's Crossbow

Strat:
SB S3 Luna > S3 Iseria (if dps: bbk dies) > S3 Straze (kills Ilynav, can't revive, for sure kills BBK) > finish off Arunka. "
Attack,Unit 1,New Moon Luna,"Arti:
Luna - Book
Straze - Tachi, Hellcutter, or Portrait
Iseria - Symbol of Unity, Elegaic Candle (Nahkwol def break arti), Andre's Crossbow

Strat:
SB S3 Luna > S3 Iseria (if dps: bbk dies) > S3 Straze (kills Ilynav, can't revive, for sure kills BBK) > finish off Arunka. "
Attack,Unit 2,Straze,"Arti:
Luna - Book
Straze - Tachi, Hellcutter, or Portrait
Iseria - Symbol of Unity, Elegaic Candle (Nahkwol def break arti), Andre's Crossbow

Strat:
SB S3 Luna > S3 Iseria (if dps: bbk dies) > S3 Straze (kills Ilynav, can't revive, for sure kills BBK) > finish off Arunka. "
Attack,Unit 3,Briar Witch Iseria,"Arti:
Luna - Book
Straze - Tachi, Hellcutter, or Portrait
Iseria - Symbol of Unity, Elegaic Candle (Nahkwol def break arti), Andre's Crossbow

Strat:
SB S3 Luna > S3 Iseria (if dps: bbk dies) > S3 Straze (kills Ilynav, can't revive, for sure kills BBK) > finish off Arunka. "
Defense,Unit 1,Boss Arunka,"Arti:
Frida - Bird's Eye View (lvl 24 or higher)
Lidica - Renewed Will (lvl 30)
Celine - Wind Rider (can be slower and full-on dmg)

Strat:
SB S2 Lidica > S3 Frida > S3 Lidica into Arunka > SB S1 Celine into Arunka (should die) > SB S1 Celine into Ilynav > if Ilynav in killrange Celine S1 into her, other wise S3. Auto from here"
Defense,Unit 2,Empyrean Ilynav,"Arti:
Frida - Bird's Eye View (lvl 24 or higher)
Lidica - Renewed Will (lvl 30)
Celine - Wind Rider (can be slower and full-on dmg)

Strat:
SB S2 Lidica > S3 Frida > S3 Lidica into Arunka > SB S1 Celine into Arunka (should die) > SB S1 Celine into Ilynav > if Ilynav in killrange Celine S1 into her, other wise S3. Auto from here"
Defense,Unit 3,Afternoon Soak Flan,"Arti:
Frida - Bird's Eye View (lvl 24 or higher)
Lidica - Renewed Will (lvl 30)
Celine - Wind Rider (can be slower and full-on dmg)

Strat:
SB S2 Lidica > S3 Frida > S3 Lidica into Arunka > SB S1 Celine into Arunka (should die) > SB S1 Celine into Ilynav > if Ilynav in killrange Celine S1 into her, other wise S3. Auto from here"
Attack,Unit 1,Frida,"Arti:
Frida - Bird's Eye View (lvl 24 or higher)
Lidica - Renewed Will (lvl 30)
Celine - Wind Rider (can be slower and full-on dmg)

Strat:
SB S2 Lidica > S3 Frida > S3 Lidica into Arunka > SB S1 Celine into Arunka (should die) > SB S1 Celine into Ilynav > if Ilynav in killrange Celine S1 into her, other wise S3. Auto from here"
Attack,Unit 2,Lidica,"Arti:
Frida - Bird's Eye View (lvl 24 or higher)
Lidica - Renewed Will (lvl 30)
Celine - Wind Rider (can be slower and full-on dmg)

Strat:
SB S2 Lidica > S3 Frida > S3 Lidica into Arunka > SB S1 Celine into Arunka (should die) > SB S1 Celine into Ilynav > if Ilynav in killrange Celine S1 into her, other wise S3. Auto from here"
Attack,Unit 3,Spirit Eye Celine,"Arti:
Frida - Bird's Eye View (lvl 24 or higher)
Lidica - Renewed Will (lvl 30)
Celine - Wind Rider (can be slower and full-on dmg)

Strat:
SB S2 Lidica > S3 Frida > S3 Lidica into Arunka > SB S1 Celine into Arunka (should die) > SB S1 Celine into Ilynav > if Ilynav in killrange Celine S1 into her, other wise S3. Auto from here"
Defense,Unit 1,Lone Wolf Peira,"Arti:
Maya - Rocket Punch/MOAS
Young Senya - Proof of Friendship
Alencia - Symbol of Unity

Rotation:
Peira S3/S1 into Maya > Briar (usually) S3 > Young Senya S2 > Senya S3 > Alencia S3 (if enemy is not on ER, you'll win here > BBK S3 > BBK S1 > Briar S1 > Peira S1 > Maya S3 into Peira > you pick them apart from here.

At any point Maya counters you'll auto-win for sure. Technically speaking you can leave the game on auto for the entire fight and still win as this is giga safe."
Defense,Unit 2,Blood Blade Karin,"Arti:
Maya - Rocket Punch/MOAS
Young Senya - Proof of Friendship
Alencia - Symbol of Unity

Rotation:
Peira S3/S1 into Maya > Briar (usually) S3 > Young Senya S2 > Senya S3 > Alencia S3 (if enemy is not on ER, you'll win here > BBK S3 > BBK S1 > Briar S1 > Peira S1 > Maya S3 into Peira > you pick them apart from here.

At any point Maya counters you'll auto-win for sure. Technically speaking you can leave the game on auto for the entire fight and still win as this is giga safe."
Defense,Unit 3,Briar Witch Iseria,"Arti:
Maya - Rocket Punch/MOAS
Young Senya - Proof of Friendship
Alencia - Symbol of Unity

Rotation:
Peira S3/S1 into Maya > Briar (usually) S3 > Young Senya S2 > Senya S3 > Alencia S3 (if enemy is not on ER, you'll win here > BBK S3 > BBK S1 > Briar S1 > Peira S1 > Maya S3 into Peira > you pick them apart from here.

At any point Maya counters you'll auto-win for sure. Technically speaking you can leave the game on auto for the entire fight and still win as this is giga safe."
